2026-07-18 14:07:01 - INFO - === Starting Live Paper-Trading Engine | Asset: BTC-USD | Initial Balance: $10,000.00 ===
2026-07-18 14:07:02 - INFO - Agent checkpoint loaded successfully (195 state keys). Epsilon strictly locked to 0.0 for deterministic execution.
2026-07-18 14:41:34 - INFO - Step:   12 | Time: 2026-07-18T14:41:34.956928 | Price: $64031.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 0, 1, 1, 0)
2026-07-18 14:41:50 - INFO - Step:   13 | Time: 2026-07-18T14:41:50.611856 | Price: $64031.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 1, 1, 1, 0)
2026-07-18 14:42:05 - INFO - Step:   14 | Time: 2026-07-18T14:42:05.850080 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:21 - INFO - Step:   15 | Time: 2026-07-18T14:42:21.088947 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:36 - INFO - Step:   16 | Time: 2026-07-18T14:42:36.324764 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:51 - INFO - Step:   17 | Time: 2026-07-18T14:42:51.978627 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:07 - INFO - Step:   18 | Time: 2026-07-18T14:43:07.219023 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:22 - INFO - Step:   19 | Time: 2026-07-18T14:43:22.456799 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:37 - INFO - Step:   20 | Time: 2026-07-18T14:43:37.694914 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:53 - INFO - Step:   21 | Time: 2026-07-18T14:43:53.354611 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:09 - INFO - Step:   22 | Time: 2026-07-18T14:44:09.006007 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:24 - INFO - Step:   23 | Time: 2026-07-18T14:44:24.340547 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:39 - INFO - Step:   24 | Time: 2026-07-18T14:44:39.573983 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:54 - INFO - Step:   25 | Time: 2026-07-18T14:44:54.808593 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:45:10 - INFO - Step:   26 | Time: 2026-07-18T14:45:10.046763 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (0, 0, 0, 1, 1, 1, 0)
2026-07-18 14:45:25 - INFO - Step:   27 | Time: 2026-07-18T14:45:25.704822 | Price: $64025.0100 | Action: Flat (1)  | PnL: $  +6.00 | TxCost: $32.01 | Balance: $   9941.9720 | State 7D: (0, 1, 0, 1, 1, 1, 0)
2026-07-18 14:45:40 - INFO - Step:   28 | Time: 2026-07-18T14:45:40.944409 | Price: $64025.0000 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $32.01 | Balance: $   9909.9595 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:45:56 - INFO - Step:   29 | Time: 2026-07-18T14:45:56.182150 | Price: $64025.0000 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:46:11 - INFO - Step:   30 | Time: 2026-07-18T14:46:11.616250 | Price: $64025.0000 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:46:27 - INFO - Step:   31 | Time: 2026-07-18T14:46:27.275905 | Price: $64021.0500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:46:42 - INFO - Step:   32 | Time: 2026-07-18T14:46:42.929532 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:46:58 - INFO - Step:   33 | Time: 2026-07-18T14:46:58.586493 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:47:14 - INFO - Step:   34 | Time: 2026-07-18T14:47:14.253183 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:47:29 - INFO - Step:   35 | Time: 2026-07-18T14:47:29.914744 | Price: $64020.3600 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:47:45 - INFO - Step:   36 | Time: 2026-07-18T14:47:45.148936 | Price: $64020.3600 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:48:00 - INFO - Step:   37 | Time: 2026-07-18T14:48:00.801667 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:48:16 - INFO - Step:   38 | Time: 2026-07-18T14:48:16.036569 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:48:31 - INFO - Step:   39 | Time: 2026-07-18T14:48:31.690109 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:48:47 - INFO - Step:   40 | Time: 2026-07-18T14:48:47.348610 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:49:02 - INFO - Step:   41 | Time: 2026-07-18T14:49:02.586491 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:49:18 - INFO - Step:   42 | Time: 2026-07-18T14:49:18.245240 | Price: $64020.3500 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9909.9595 | State 7D: (0, 0, 0, -1, 1, 1, 0)
2026-07-18 14:49:33 - INFO - Step:   43 | Time: 2026-07-18T14:49:33.485556 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +5.31 | TxCost: $32.02 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 1, 1, 1, 0)
2026-07-18 14:49:49 - INFO - Step:   44 | Time: 2026-07-18T14:49:49.143285 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:50:04 - INFO - Step:   45 | Time: 2026-07-18T14:50:04.383658 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:50:20 - INFO - Step:   46 | Time: 2026-07-18T14:50:20.042459 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:50:35 - INFO - Step:   47 | Time: 2026-07-18T14:50:35.282478 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:50:50 - INFO - Step:   48 | Time: 2026-07-18T14:50:50.940039 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:51:06 - INFO - Step:   49 | Time: 2026-07-18T14:51:06.701329 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:51:22 - INFO - Step:   50 | Time: 2026-07-18T14:51:22.358171 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:51:38 - INFO - Step:   51 | Time: 2026-07-18T14:51:38.017339 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:51:53 - INFO - Step:   52 | Time: 2026-07-18T14:51:53.252964 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:52:09 - INFO - Step:   53 | Time: 2026-07-18T14:52:09.029929 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:52:24 - INFO - Step:   54 | Time: 2026-07-18T14:52:24.264266 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:52:39 - INFO - Step:   55 | Time: 2026-07-18T14:52:39.504278 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:52:54 - INFO - Step:   56 | Time: 2026-07-18T14:52:54.738924 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:53:10 - INFO - Step:   57 | Time: 2026-07-18T14:53:10.784679 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:53:26 - INFO - Step:   58 | Time: 2026-07-18T14:53:26.019761 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:53:41 - INFO - Step:   59 | Time: 2026-07-18T14:53:41.676833 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:53:56 - INFO - Step:   60 | Time: 2026-07-18T14:53:56.912157 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:54:12 - INFO - Step:   61 | Time: 2026-07-18T14:54:12.563114 | Price: $64030.3000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:54:27 - INFO - Step:   62 | Time: 2026-07-18T14:54:27.798407 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:54:43 - INFO - Step:   63 | Time: 2026-07-18T14:54:43.696837 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:54:58 - INFO - Step:   64 | Time: 2026-07-18T14:54:58.936101 | Price: $64030.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9883.2543 | State 7D: (0, 1, 0, 0, 1, 1, 0)
2026-07-18 14:55:14 - INFO - Step:   65 | Time: 2026-07-18T14:55:14.592947 | Price: $64019.9600 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $32.01 | Balance: $   9851.2444 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:55:29 - INFO - Step:   66 | Time: 2026-07-18T14:55:29.939125 | Price: $64019.9600 | Action: Long (2)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9851.2444 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:55:45 - INFO - Step:   67 | Time: 2026-07-18T14:55:45.177697 | Price: $64019.9700 | Action: Short (0) | PnL: $  +0.01 | TxCost: $32.01 | Balance: $   9819.2444 | State 7D: (0, 0, 0, 1, 1, 1, 0)
2026-07-18 14:56:00 - INFO - Step:   68 | Time: 2026-07-18T14:56:00.416241 | Price: $64019.9700 | Action: Long (2)  | PnL: $  -0.00 | TxCost: $32.01 | Balance: $   9787.2344 | State 7D: (0, 0, 0, 0, 1, 1, 0)
2026-07-18 14:56:16 - INFO - Step:   69 | Time: 2026-07-18T14:56:16.070673 | Price: $64024.3400 | Action: Short (0) | PnL: $  +4.37 | TxCost: $32.01 | Balance: $   9759.5922 | State 7D: (0, 0, 0, 1, 1, 1, 0)
2026-07-18 14:56:31 - INFO - Step:   70 | Time: 2026-07-18T14:56:31.780589 | Price: $64024.4600 | Action: Long (2)  | PnL: $  -0.12 | TxCost: $32.01 | Balance: $   9727.4600 | State 7D: (0, 0, 0, -1, 1, 1, 0)
